Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Central African Republic,CAF,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,59.57
Central African Republic,CAF,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.28
Central African Republic,CAF,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.77
Central African Republic,CAF,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,55.27
Central African Republic,CAF,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,58.67
Central African Republic,CAF,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,66.49
Central African Republic,CAF,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,70.77
Central African Republic,CAF,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,81.59
Central African Republic,CAF,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,93.67
Central African Republic,CAF,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,96.89
Central African Republic,CAF,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,98.88
Central African Republic,CAF,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.79
Central African Republic,CAF,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.78
Central African Republic,CAF,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,49.49
Central African Republic,CAF,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,45.29
Central African Republic,CAF,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,46.99
Central African Republic,CAF,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.38
Central African Republic,CAF,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,57.91
Central African Republic,CAF,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,67.64
Central African Republic,CAF,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,82.43
Central African Republic,CAF,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,93.11
Central African Republic,CAF,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,98.21
Central African Republic,CAF,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,63.48
Central African Republic,CAF,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,65.55
Central African Republic,CAF,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.41
Central African Republic,CAF,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,71.76
Central African Republic,CAF,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.37
Central African Republic,CAF,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,81.52
Central African Republic,CAF,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,84.79
Central African Republic,CAF,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,89.32
Central African Republic,CAF,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,92.55
Central African Republic,CAF,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,93.86
Central African Republic,CAF,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,94.47
Central African Republic,CAF,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,51.59
